Review ID,Sentiment,Primary Aspect,Cleaned Text (Lowercased)
1,Mixed,"Food/Restaurant & Staff","lunch meal was very nice. lavish, our waiter was very attentive, sometimes a bit too much. restaurant very nice. thoroughly enjoyable."
2,Positive,"Food/Restaurant & Staff","wonderful experience at cafe resto. always with mr. lavish. the experience at resto is world-class friendly. we would love to visit again and again."
3,Negative,"Overall & Room & Staff","this so-called 5-star hotel barely feels like a 3-star. service is extremely poor. staff is unprofessional. rooms are no better. walls are so thin you can hear everything. worst experience by far. room, bedsheets, towels look and feel cheap. not worth the price or a 5-star experience."
4,Positive,"Staff & Food/Restaurant","thank you ankit for your great service. food was really great at the restaurant. would highly recommend."
5,Positive,"Location & Price & Staff","location is ideal. pricing is reasonable. people (staff) are good."
6,Positive,Room,"great one! rooms are very clean and aesthetic."
7,Positive,Staff,"had a very pleasant experience with the front office team (shruti kashyap)."
8,Mixed,Room,"i found only suite rooms to be spacious."
9,Positive,"Room & Facilities & Location","good looking and very pleasant to stay. ac is also working well. good furniture, nice looking. good maintenance. overall everything is good. adyar anandabavan and kabilar theertham falls/temple are nearby."
10,Negative,"Room & Staff & Booking/Check-in","hotel is very dirty, sticky, and cheap. staff does not understand english. no shower/tv not working. booked executive room but was given a horrible standard room. overall experience is worst."
11,Negative,"Staff/Management & Facilities & Room","wait time of 45 mins for room. tv never worked. frequent water shortages. management is very irresponsible. rooms were pretty unclean. avoid this one if traveling with family."
12,Negative,"Room & Cleanliness","this is a zero star hotel. pretty old. bed bugs everywhere. pillow covers, bed bugs, towels had a bad smell and color. reserve elsewhere."
13,Positive,"Value & Overall & Staff & Location","fantastic value for the money. staff and location were good. overall experience was very positive. comfortable and affordable place to stay."
14,Mixed,"Food/Breakfast & Staff & Room","good hotel. only variety in the breakfast could be increased. ac problem was immediately resolved by changing the room. staff is well-mannered and helpful."
15,Negative,"Room & Service & Facilities","very bad experience for non-ac rooms. very bad room, worst service. no ventilation. dirty fan, runs slowly. plugs are falling, lights not working. no service or change of linens."
16,Negative,"Room & Staff & Service & Cleanliness","rooms are terrible. staff takes too much time for requests. reception person is very annoying. room was dirty, even the second room was dirty. rooms are smelly, bedsheets are dirty, towels are torn."
17,Positive,"Service & Room & Location & Cleanliness & Value","great customer service, great rooms, apt cleanliness, awesome proximity to railway and bus station. best budget stay!"
18,Mixed,"Overall & Room & Staff & Facilities","very good budget hotel for short stay. spacious rooms, neat and clean. staff and manager were very co-operative. only disadvantage is no attached restaurant, but choices are nearby. overall experience is good."
